Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
03/26/2020,UFO,9412 JP,B1TK234,SKY PERFECT JSAT H,197200.00,389.000000,688390.54,4.80%,14342305.00,850000,34,
03/26/2020,UFO,AIR FP,4012250,AIRBUS GROUP SE,1734.00,60.010000,112719.86,0.79%,14342305.00,850000,34,
03/26/2020,UFO,AJRD,007800105,AEROJET ROCKETDYNE HLDGS INC COM,1326.00,37.890000,50242.14,0.35%,14342305.00,850000,34,
03/26/2020,UFO,BA,097023105,BOEING CO,2244.00,158.730000,356190.12,2.48%,14342305.00,850000,34,
03/26/2020,UFO,BLL,058498106,BALL CORP,1700.00,56.020000,95234.00,0.66%,14342305.00,850000,34,
03/26/2020,UFO,CMCSA,20030N101,COMCAST CORP NEW,9826.00,33.570000,329858.82,2.30%,14342305.00,850000,34,
03/26/2020,UFO,DISH,25470M109,DISH NETWORK CORPORATION,36482.00,20.640000,752988.48,5.25%,14342305.00,850000,34,
03/26/2020,UFO,ETL FP,B0M7KJ7,EUTELSAT COMMUNICA,74052.00,8.968000,719382.91,5.02%,14342305.00,850000,34,
03/26/2020,UFO,GRMN,H2906T109,GARMIN LTD,9894.00,71.710000,709498.74,4.95%,14342305.00,850000,34,
03/26/2020,UFO,GSAT,378973408,GLOBALSTAR INC,2527050.00,0.343200,867283.56,6.05%,14342305.00,850000,34,
03/26/2020,UFO,HO FP,4162791,THALES,510.00,68.520000,37854.30,0.26%,14342305.00,850000,34,
03/26/2020,UFO,HON,438516106,HONEYWELL INTL INC,1666.00,129.650000,215996.90,1.51%,14342305.00,850000,34,
03/26/2020,UFO,I,L5140P101,INTELSAT S A,377774.00,1.920000,725326.08,5.06%,14342305.00,850000,34,
03/26/2020,UFO,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,33048.00,20.660000,682771.68,4.76%,14342305.00,850000,34,
03/26/2020,UFO,LDO IM,B0DJNG0,LEONARDO-FINMECCANICA SPA,1666.00,5.842000,10543.00,0.07%,14342305.00,850000,34,
03/26/2020,UFO,LHX,502431109,L3HARRIS TECHNOLOGIES INC,2040.00,173.460000,353858.40,2.47%,14342305.00,850000,34,
03/26/2020,UFO,LMT,539830109,LOCKHEED MARTIN CORP,1122.00,319.670000,358669.74,2.50%,14342305.00,850000,34,
03/26/2020,UFO,LORL,543881106,LORAL SPACE & COMMUNICATNS INC COM,32572.00,15.400000,501608.80,3.50%,14342305.00,850000,34,
03/26/2020,UFO,MAXR,57778K105,MAXAR TECHNOLOGIES INC,78302.00,11.350000,888727.70,6.20%,14342305.00,850000,34,
03/26/2020,UFO,NOC,666807102,NORTHROP GRUMMAN CORP,1190.00,288.360000,343148.40,2.39%,14342305.00,850000,34,
03/26/2020,UFO,ORBC,68555P100,ORBCOMM INC,382670.00,1.400000,535738.00,3.74%,14342305.00,850000,34,
03/26/2020,UFO,RTN,755111507,RAYTHEON CO,1700.00,144.780000,246126.00,1.72%,14342305.00,850000,34,
03/26/2020,UFO,SATS,278768106,ECHOSTAR CORP,24548.00,32.870000,806892.76,5.63%,14342305.00,850000,34,
03/26/2020,UFO,SDA AU,BPRC2R4,SPEEDCAST INTL LTD,1039473.00,0.010000,6191.61,0.04%,14342305.00,850000,34,
03/26/2020,UFO,SESG FP,B00ZQQ2,SES SA,111384.00,5.998000,723697.38,5.05%,14342305.00,850000,34,
03/26/2020,UFO,SIRI,82968B103,SIRIUS XM HLDGS INC,129472.00,5.050000,653833.60,4.56%,14342305.00,850000,34,
03/26/2020,UFO,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC COM,52190.00,16.000000,835040.00,5.82%,14342305.00,850000,34,
03/26/2020,UFO,T,00206R102,AT&T INC,11084.00,28.400000,314785.60,2.19%,14342305.00,850000,34,
03/26/2020,UFO,TRMB,896239100,TRIMBLE INC,26792.00,28.790000,771341.68,5.38%,14342305.00,850000,34,
03/26/2020,UFO,VSAT,92552V100,VIASAT INC,16660.00,38.400000,639744.00,4.46%,14342305.00,850000,34,
03/26/2020,UFO,Cash&Other,Cash&Other,Cash & Other,8326.43,1.000000,8326.43,0.06%,14342305.00,850000,34,Y
